SEQN,SDDSRVYR,RIDSTATR,RIDEXMON,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDAGEEX,RIDRETH1,DMQMILIT,DMDBORN2,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDSCHOL,DMDMARTL,DMDHHSIZ,DMDFMSIZ,INDHHIN2,INDFMIN2,INDFMPIR,RIDEXPRG,DMDHRGND,DMDHRAGE,DMDHRBR2,DMDHREDU,DMDHRMAR,DMDHSEDU,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANG,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA
56594,6,2,1,2,62,746,746,2,2,4,1,6,0,1,0,3,5,1,99,13,0,0,2,50,0,0,4,0,2,2,2,2,2,2,2,2,2,2,5003,5153,2,85
56595,6,2,1,2,2,28,29,3,0,1,1,0,0,0,0,0,4,4,5,5,0,0,2,26,5,2,1,4,1,1,2,1,2,2,0,0,0,0,6039,6420,3,86
56596,6,2,1,2,45,542,542,4,2,1,1,0,0,4,0,1,4,4,9,9,2,0,1,68,1,2,1,4,1,2,2,1,2,2,1,2,2,1,24835,25343,1,84
56597,6,2,2,1,48,586,587,3,2,1,1,0,0,5,0,3,1,1,15,15,5,0,1,48,1,5,3,0,1,2,2,1,2,2,1,2,2,1,91233,94447,2,77
56598,6,2,1,1,44,535,536,1,2,2,2,5,0,2,0,1,5,5,7,7,1,0,1,44,2,2,1,1,2,2,2,2,2,2,2,2,2,2,16343,16557,2,88
56599,6,2,1,1,70,849,850,2,2,1,1,0,0,1,0,1,2,2,7,7,2,0,2,69,1,5,1,1,1,2,2,1,2,2,2,2,2,0,14555,15281,1,75
56600,6,2,2,2,9,116,117,2,0,1,1,0,3,0,1,0,4,4,99,99,0,0,2,31,0,0,4,0,2,1,2,2,2,2,1,2,2,0,8129,8423,1,78
56601,6,2,2,2,56,681,683,3,2,1,1,0,0,5,0,1,2,2,4,4,1,0,1,74,1,2,1,5,1,2,2,1,2,2,1,2,2,1,25642,25977,2,76
56602,6,2,2,2,51,617,618,4,2,1,1,0,0,3,0,2,2,2,6,6,1,0,2,51,1,3,2,0,1,2,2,1,2,2,1,2,2,1,25206,27375,2,84
56603,6,2,2,1,7,88,89,3,0,1,1,0,1,0,2,0,5,5,15,15,5,0,2,49,1,4,1,5,1,1,2,1,2,2,0,0,0,0,35108,35667,1,79
