cat,var,count,uniq_count
"Olives, pickles, pickled vegetables",30,108,87
"Olives, pickles, pickled vegetables",40,116,94
"Olives, pickles, pickled vegetables",50,126,93
"Olives, pickles, pickled vegetables",60,120,89
"Olives, pickles, pickled vegetables",70,89,63
"Olives, pickles, pickled vegetables",80,52,40
Onions,0,61,57
Onions,10,129,114
Onions,20,167,137
Onions,30,157,135
Onions,40,176,150
Onions,50,176,145
Onions,60,165,135
Onions,70,82,65
Onions,80,41,36
Other Mexican mixed dishes,0,231,192
Other Mexican mixed dishes,10,152,132
Other Mexican mixed dishes,20,107,88
Other Mexican mixed dishes,30,82,71
Other Mexican mixed dishes,40,81,68
Other Mexican mixed dishes,50,67,57
Other Mexican mixed dishes,60,44,40
Other Mexican mixed dishes,70,15,11
Other Mexican mixed dishes,80,5,5
Other diet drinks,0,94,67
Other diet drinks,10,63,43
Other diet drinks,20,18,16
Other diet drinks,30,35,24
Other diet drinks,40,27,16
Other diet drinks,50,42,27
Other diet drinks,60,27,19
Other diet drinks,70,32,17
Other diet drinks,80,15,7
Other fruit juice,0,718,447
Other fruit juice,10,174,146
Other fruit juice,20,96,75
Other fruit juice,30,107,75
Other fruit juice,40,102,76
Other fruit juice,50,121,91
Other fruit juice,60,113,77
Other fruit juice,70,55,39
Other fruit juice,80,58,37
Other fruits and fruit salads,0,513,410
Other fruits and fruit salads,10,249,203
Other fruits and fruit salads,20,119,94
Other fruits and fruit salads,30,135,106
Other fruits and fruit salads,40,146,110
Other fruits and fruit salads,50,221,153
Other fruits and fruit salads,60,233,166
Other fruits and fruit salads,70,141,97
Other fruits and fruit salads,80,81,55
Other red and orange vegetables,0,60,49
Other red and orange vegetables,10,29,27
Other red and orange vegetables,20,40,34
Other red and orange vegetables,30,40,38
Other red and orange vegetables,40,43,37
Other red and orange vegetables,50,58,54
Other red and orange vegetables,60,75,63
Other red and orange vegetables,70,44,37
Other red and orange vegetables,80,26,21
Other sandwiches (single code),0,26,26
Other sandwiches (single code),10,55,50
Other sandwiches (single code),20,48,44
Other sandwiches (single code),30,48,44
Other sandwiches (single code),40,36,35
Other sandwiches (single code),50,39,33
Other sandwiches (single code),60,26,23
Other sandwiches (single code),70,16,14
Other sandwiches (single code),80,12,9
Other starchy vegetables,0,128,112
Other starchy vegetables,10,64,61
Other starchy vegetables,20,39,36
Other starchy vegetables,30,56,49
Other starchy vegetables,40,52,44
Other starchy vegetables,50,81,64
Other starchy vegetables,60,81,69
Other starchy vegetables,70,47,43
Other starchy vegetables,80,23,23
Other vegetables and combinations,0,473,360
Other vegetables and combinations,10,334,249
Other vegetables and combinations,20,383,244
Other vegetables and combinations,30,386,261
Other vegetables and combinations,40,455,277
Other vegetables and combinations,50,535,314
Other vegetables and combinations,60,503,304
Other vegetables and combinations,70,273,170
Other vegetables and combinations,80,187,122
"Pancakes, waffles, French toast",0,508,437
"Pancakes, waffles, French toast",10,264,238
"Pancakes, waffles, French toast",20,77,70
"Pancakes, waffles, French toast",30,85,75
"Pancakes, waffles, French toast",40,81,74
"Pancakes, waffles, French toast",50,71,64
"Pancakes, waffles, French toast",60,64,56
"Pancakes, waffles, French toast",70,37,33
