cat,var,count,uniq_count
Peaches and nectarines,3,153,120
Peaches and nectarines,4,66,58
Peaches and nectarines,6,31,27
Peaches and nectarines,7,9,8
Pizza,1,86,69
Pizza,2,78,61
Pizza,3,462,365
Pizza,4,265,202
Pizza,6,97,81
Pizza,7,32,26
Popcorn,1,28,27
Popcorn,2,28,28
Popcorn,3,185,166
Popcorn,4,106,97
Popcorn,6,35,33
Popcorn,7,11,11
Pork,1,76,65
Pork,2,73,65
Pork,3,210,185
Pork,4,288,238
Pork,6,143,111
Pork,7,15,11
Potato chips,1,98,88
Potato chips,2,54,45
Potato chips,3,451,385
Potato chips,4,464,370
Potato chips,6,101,90
Potato chips,7,45,37
Poultry mixed dishes,1,64,56
Poultry mixed dishes,2,77,65
Poultry mixed dishes,3,274,234
Poultry mixed dishes,4,184,152
Poultry mixed dishes,6,113,86
Poultry mixed dishes,7,26,20
Pretzels/snack mix,1,17,14
Pretzels/snack mix,2,17,11
Pretzels/snack mix,3,182,151
Pretzels/snack mix,4,51,46
Pretzels/snack mix,6,40,33
Pretzels/snack mix,7,10,9
Processed soy products,1,10,8
Processed soy products,2,4,4
Processed soy products,3,56,39
Processed soy products,4,12,9
Processed soy products,6,49,45
Processed soy products,7,9,8
Protein and nutritional powders,1,28,19
Protein and nutritional powders,2,22,10
Protein and nutritional powders,3,72,53
Protein and nutritional powders,4,32,21
Protein and nutritional powders,6,26,15
Protein and nutritional powders,7,8,5
Pudding,1,12,12
Pudding,2,27,25
Pudding,3,92,80
Pudding,4,25,21
Pudding,6,28,22
Pudding,7,3,3
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",1,111,97
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",2,96,78
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",3,497,384
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",4,266,217
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",6,99,80
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",7,49,40
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",1,107,84
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",2,86,69
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",3,514,371
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",4,150,113
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",6,79,62
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",7,31,23
Rice,1,110,88
Rice,2,343,231
Rice,3,241,210
Rice,4,375,310
Rice,6,937,459
Rice,7,66,46
Rice mixed dishes,1,104,89
Rice mixed dishes,2,150,118
Rice mixed dishes,3,139,125
Rice mixed dishes,4,181,153
Rice mixed dishes,6,131,86
Rice mixed dishes,7,24,20
Rolls and buns,1,123,103
Rolls and buns,2,135,107
Rolls and buns,3,650,525
Rolls and buns,4,396,319
Rolls and buns,6,140,122
Rolls and buns,7,39,35
Salad dressings and vegetable oils,1,111,88
Salad dressings and vegetable oils,2,175,134
Salad dressings and vegetable oils,3,771,578
Salad dressings and vegetable oils,4,443,327
Salad dressings and vegetable oils,6,169,134
Salad dressings and vegetable oils,7,51,43
Saltine crackers,1,29,27
Saltine crackers,2,72,62
Saltine crackers,3,186,153
Saltine crackers,4,106,90
Saltine crackers,6,40,35
Saltine crackers,7,17,16
Sausages,1,49,41
Sausages,2,46,41
Sausages,3,255,224
Sausages,4,330,276
Sausages,6,39,32
Sausages,7,19,16
Seafood mixed dishes,1,31,30
Seafood mixed dishes,2,37,35
Seafood mixed dishes,3,135,124
Seafood mixed dishes,4,133,112
Seafood mixed dishes,6,78,65
Seafood mixed dishes,7,12,11
Shellfish,1,28,26
Shellfish,2,36,29
Shellfish,3,111,86
Shellfish,4,123,96
Shellfish,6,113,90
Shellfish,7,16,12
Soft drinks,1,575,283
Soft drinks,2,363,201
Soft drinks,3,1589,737
Soft drinks,4,1289,677
Soft drinks,6,284,176
Soft drinks,7,128,61
Soups,1,200,148
Soups,2,173,125
Soups,3,488,384
Soups,4,235,178
Soups,6,541,294
Soups,7,47,32
Soy-based condiments,1,15,13
Soy-based condiments,2,18,16
Soy-based condiments,3,70,60
Soy-based condiments,4,47,40
Soy-based condiments,6,194,138
Soy-based condiments,7,16,11
Sport and energy drinks,1,83,59
Sport and energy drinks,2,42,29
Sport and energy drinks,3,229,158
Sport and energy drinks,4,116,81
Sport and energy drinks,6,41,34
Sport and energy drinks,7,14,11
Stir-fry and soy-based sauce mixtures,1,41,34
Stir-fry and soy-based sauce mixtures,2,39,33
Stir-fry and soy-based sauce mixtures,3,138,104
Stir-fry and soy-based sauce mixtures,4,69,53
Stir-fry and soy-based sauce mixtures,6,206,141
Stir-fry and soy-based sauce mixtures,7,22,14
String beans,1,22,20
String beans,2,26,23
String beans,3,203,190
String beans,4,212,185
String beans,6,60,55
String beans,7,28,27
Sugar substitutes,1,150,79
Sugar substitutes,2,154,73
Sugar substitutes,3,575,266
Sugar substitutes,4,312,162
Sugar substitutes,6,103,52
Sugar substitutes,7,33,15
Sugars and honey,1,344,206
Sugars and honey,2,531,244
Sugars and honey,3,973,540
Sugars and honey,4,769,442
Sugars and honey,6,396,214
Sugars and honey,7,88,50
Tap water,1,632,260
Tap water,2,871,302
Tap water,3,3765,1373
Tap water,4,1753,730
Tap water,6,1471,473
Tap water,7,249,98
Tea,1,238,142
Tea,2,275,145
Tea,3,1494,699
Tea,4,819,480
Tea,6,643,305
Tea,7,128,59
Tomato-based condiments,1,319,204
Tomato-based condiments,2,164,111
Tomato-based condiments,3,796,562
Tomato-based condiments,4,673,434
Tomato-based condiments,6,216,147
Tomato-based condiments,7,72,47
Tomatoes,1,229,174
Tomatoes,2,252,175
Tomatoes,3,886,638
Tomatoes,4,466,351
Tomatoes,6,202,157
Tomatoes,7,64,50
"Tortilla, corn, other chips",1,127,102
"Tortilla, corn, other chips",2,74,65
"Tortilla, corn, other chips",3,451,371
"Tortilla, corn, other chips",4,281,222
"Tortilla, corn, other chips",6,95,77
"Tortilla, corn, other chips",7,54,44
Tortillas,1,394,258
Tortillas,2,130,85
Tortillas,3,100,86
Tortillas,4,34,31
Tortillas,6,33,29
Tortillas,7,7,7
"Turkey, duck, other poultry",1,16,14
"Turkey, duck, other poultry",2,19,17
"Turkey, duck, other poultry",3,70,67
"Turkey, duck, other poultry",4,136,114
"Turkey, duck, other poultry",6,38,28
"Turkey, duck, other poultry",7,7,6
Turnovers and other grain-based items,1,15,13
Turnovers and other grain-based items,2,38,32
Turnovers and other grain-based items,3,80,70
Turnovers and other grain-based items,4,64,59
Turnovers and other grain-based items,6,44,39
Turnovers and other grain-based items,7,10,10
Vegetable juice,1,9,8
Vegetable juice,2,10,7
Vegetable juice,3,90,59
Vegetable juice,4,46,36
Vegetable juice,6,16,13
Vegetable juice,7,5,4
Vegetable mixed dishes,1,33,30
Vegetable mixed dishes,2,46,42
Vegetable mixed dishes,3,258,221
Vegetable mixed dishes,4,119,104
Vegetable mixed dishes,6,106,77
Vegetable mixed dishes,7,7,7
"White potatoes, baked or boiled",1,18,16
"White potatoes, baked or boiled",2,47,42
"White potatoes, baked or boiled",3,152,142
"White potatoes, baked or boiled",4,72,67
"White potatoes, baked or boiled",6,48,37
"White potatoes, baked or boiled",7,14,13
Wine,1,21,17
Wine,2,60,45
